REC_ID,COMPANY,DISPOSITION_TYPE,PRIMARY_CRIME_CODE,USAO,COUNTRY,DATE,FINE,TOTAL_PAYMENT,AGMT_YEAR
138,"1st Union Transfer and Telegraph, Inc.",plea,Money Laundering,Virginia - Eastern District,United States,6/17/2003,0,272734,2003
139,"3D Poultry Loading, Inc.",plea,Immigration,Arkansas - Western District,United States,1/25/2005,24000,24000,2005
2529,"3rd & Bell, LLC",plea,Immigration,Arizona,United States,11/21/2014,50,50,2014
822,41 Market Inc.,plea,Controlled substances / Drugs / Meth Act,Georgia - Northern District,United States,7/5/2006,14640,14640,2006
140,"45,000, Inc.",plea,Environmental,Louisiana - Middle District,United States,6/3/2005,25000,27500,2005
823,4628 Group Inc.,plea,Environmental,New York - Northern District,United States,7/31/2001,500000,500000,2001
824,"70 North, LLC",plea,Environmental,Alaska,United States,3/5/2013,2000,2000,2013
825,806 Trading Corp.,plea,Other,New Jersey,United States,3/5/2012,42000,42000,2012
2530,"83rd & Union Hills, LLC",plea,Immigration,Arizona,United States,11/24/2014,50,50,2014
2531,"84th & Bell, LLC",plea,Immigration,Arizona,United States,11/24/2014,50,50,2014
826,A & G Coal Corp.,plea,OSHA / Workplace Safety / Mine Safety,Virginia - Western District,United States,5/21/2001,24000,460000,2001
2528,"A B & J Coal Company, Inc.",plea,OSHA / Workplace Safety / Mine Safety,Virginia - Western District,United States,4/29/2014,25000,25000,2014
141,"A J & J Thornton Oil, Inc.",plea,Environmental,Louisiana - Western District,United States,4/21/2003,5000,5000,2003
3140,A&L Cesspool Service Corporation,plea,Environmental,New York - Eastern District,United States,11/7/2016,375000,550000,
827,A-1 Barrel Company LLC,plea,Environmental,Kansas,United States,9/11/2012,15000,15000,2012
829,A.E. Nomikos Shipping Inv. Ltd.,plea,Act to Prevent Pollution from Ships,Oregon,Greece,11/4/2011,375000,750000,2011
830,A.J.R. Publishing Inc.,plea,Fraud - General,Florida - Southern District,United States,5/25/2004,6000,56730,2004
142,"A.P. Moller-Maersk, A/S",plea,Act to Prevent Pollution from Ships,California - Northern District,Denmark,9/30/2005,400000,500000,2005
831,AA Communications Inc.,plea,Fraud - General,Louisiana - Eastern District,United States,4/24/2009,12800,1508321,2009
3090,"AADCO Medical, Inc.",plea,FDCA / Pharma,Vermont,United States,6/30/2016,5000,52945,2016
832,AAPEX Environmental Services Inc.,plea,Environmental,New York - Northern District,United States,3/26/2012,166700,166700,2012
833,AAR Contractor Inc.,plea,Fraud - General,New York - Northern District,United States,2/25/2005,0,24909032,2005
2,AB Volvo [on behalf of itself and subsidiaries Renault Trucks SAS and Volvo Construction Equipment AB],DP,FCPA,USDOJ - Criminal Division - Fraud Section,Sweden,3/20/2008,7000000,7000000,2008
834,ABB Inc.,plea,FCPA,USDOJ - Criminal Division - Fraud Section,United States,10/1/2010,17100000,17100000,2010
564,ABB Ltd.,DP,FCPA,USDOJ - Criminal Division - Fraud Section,Switzerland,9/29/2010,30420000,30420000,2010
835,ABB Middle East & Africa Participations AG,plea,Antitrust,USDOJ - Antitrust Division,Switzerland,4/12/2001,53000000,53000000,2001
143,ABB Vetco Gray (UK) Ltd.,plea,FCPA,Texas - Southern District,United Kingdom,7/15/2004,5250000,5250000,2004
836,"ABB Vetco Gray, Inc.",plea,FCPA,Texas - Southern District,United States,7/15/2004,5250000,5250000,2004
760,"ABC Professional Tree Services, Inc.",NP,Immigration,Texas - Southern District,United States,5/18/2012,0,2000000,2012
837,"ABI's Clinic, Ltd.",plea,Fraud - Health Care,Missouri - Eastern District,United States,1/3/2013,0,150000,2013
145,"ABL Aero, Inc.",plea,Import / Export,District of Columbia,United States,8/10/2006,500000,500000,2006
3,ABN AMRO Bank N.V.,DP,Bank Secrecy Act,USDOJ - Criminal Division - Asset Forfeiture & Money Laundering Section,Netherlands,5/10/2010,0,505000000,2010
565,ABT Associates,DP,Other,Massachusetts,United States,1/18/2007,2121688,2316266,2007
147,"ACS Environmental, Inc.",plea,Environmental,"USDOJ,Virginia - Eastern District",United States,4/3/2006,500000,500000,2006
2749,AEB Co.,plea,Food,Illinois - Northern District,United States,7/20/2000,25000,25000,2000
838,AEM Inc.,plea,Fraud - General,Florida - Middle District,United States,7/27/2010,0,200000000,2010
566,AEP Energy Services,DP,Fraud - General,USDOJ - Criminal Division - Fraud Section,United States,1/26/2005,30000000,30000000,2005
2955,"AES Laurel Mountain, LLC",plea,Wildlife,West Virginia - Northern District,United States,2/12/2016,30000,30000,2016
839,AEY Inc.,plea,Fraud - General,Florida - Southern District,United States,1/7/2011,500000,500000,2011
6,AGA Medical,DP,FCPA,USDOJ - Criminal Division - Fraud Section,United States,6/3/2008,2000000,2000000,2008
7,AGCO Corp.,DP,FCPA,USDOJ - Criminal Division - Fraud Section,United States,9/29/2009,1600000,1600000,2009
840,AH Computer Consulting Inc.,plea,Bribery,Virginia - Eastern District,United States,7/26/2013,75000,75000,2013
648,AIG,NP,Fraud - Securities,USDOJ - Criminal Division - Fraud Section,United States,2/7/2006,0,25000000,2006
649,AIG Financial Products Corp.,NP,Fraud - Securities,USDOJ - Criminal Division - Fraud Section,United States,11/30/2004,80000000,80000000,2004
571,AOL,DP,Fraud - Securities,"USDOJ - Criminal Division,Virginia - Eastern District",United States,12/14/2004,60000000,210000000,2004
841,APT Vending Inc.,plea,Gambling,Indiana - Northern District,United States,6/28/2001,40000,40000,2001
800,ARVEST Privatbank AG,NP,Fraud - Tax,USDOJ - Tax Division,Switzerland,6/25/2015,1044000,1044000,2015
843,ATV Adventures Inc.,plea,Other,Nevada,United States,12/2/2004,0,73578,2004
844,AU Optronics Corp.,trial convicton,Antitrust,USDOJ - Antitrust Division (San Francisco),Taiwan,10/2/2012,500000000,500000000,2012
845,AU Optronics Corp. America,trial convicton,Antitrust,USDOJ - Antitrust Division (San Francisco),United States,10/2/2012,200000,200000,2012
1,Aargauische Kantonalbank,NP,Fraud - Tax,USDOJ - Tax Division,Switzerland,11/30/2015,1983000,1983000,2015
847,Abaci International Inc.,plea,Fraud - General,"California - Southern District,USDOJ - Criminal Division",United States,11/4/2003,26563,59767,2003
848,Abatement International/Advantex Associates,plea,Environmental,New York - Southern District,United States,7/9/2007,56000,56000,2007
849,Abbott Laboratories,plea,FDCA / Pharma,"USDOJ - Consumer Protection Branch,Virginia - Western District",United States,10/2/2012,500000000,698500000,2012
850,Able Cable Inc.,plea,Fraud - Tax,USDOJ - Criminal Division,United States,6/15/2001,78000,78000,2001
742,"Academi, LLC",DP,Import / Export,North Carolina - Eastern District,United States,8/7/2012,7500000,7500000,2012
146,"Academy Packing Co., Inc.",plea,Food,Michigan - Eastern District,United States,3/31/2003,20000,20000,2003
851,Acambaro Mexican Restaurant Inc.,plea,Immigration,Arkansas - Western District,United States,4/30/2009,250000,250000,2009
852,Accord Ship Management,plea,Act to Prevent Pollution from Ships,"Puerto Rico,USDOJ - Special Litigation",India,9/20/2007,1750000,1750000,2007
853,Ace & Co. Inc.,plea,Fraud - General,Connecticut,United States,11/22/2006,0,230432,2006
854,Ace Rubber Products Inc.,plea,Other,Texas - Northern District,United States,7/13/2001,0,54506,2001
855,Action Carrier Inc.,plea,False Statements,South Dakota,United States,9/27/2005,200,200,2005
148,"Acuity Specialty Products Group, Inc.",plea,Environmental,USDOJ - Environment & Natural Resources Division,United States,7/5/2007,3800000,3800000,2007
149,"Adams Management Group, Inc.",plea,False Statements,Massachusetts,United States,9/18/2009,24000,24000,2009
755,"Adams Thermal Systems, Inc.",DP,OSHA / Workplace Safety / Mine Safety,South Dakota,United States,9/5/2013,450000,900000,2013
646,Adelphia Communications,NP,Fraud - Securities,New York - Southern District,United States,5/1/2005,0,715000000,2005
857,Advanced Care Transport LLC,plea,Fraud - Health Care,Indiana - Northern District,United States,9/30/2013,0,3500000,2013
858,Advanced Computer Link Inc.,plea,Fraud - General,California - Northern District,United States,1/9/2002,140000,140000,2002
647,"Advanced Containment Systems, Inc",NP,Immigration,Texas - Southern District,United States,1/1/2012,0,2000000,2012
859,Advanced Dental Consulting Inc.,plea,Fraud - Health Care,Indiana - Northern District,United States,9/9/2005,0,2432963,2005
860,Advanced Fluorinated Products Inc.,plea,Environmental,Connecticut,United States,7/22/2002,5000,5000,2002
861,Advanced Integrated Management Services Inc.,plea,Fraud - General,Tennessee - Eastern District,United States,11/26/2007,0,57219,2007
862,Advanced Medical Practices Inc.,plea,Fraud - Health Care,Florida - Middle District,United States,10/7/2009,0,593000,2009
150,"Advanced Metal Finishing of Roanoke, Inc.",plea,Environmental,Virginia - Western District,United States,4/11/2007,25000,50000,2007
3146,Aegean Shipping Management SA,plea,Act to Prevent Pollution from Ships,South Carolina,Greece,3/8/2017,1700000,2000000,2017
863,Aerocontrol Ltd.,plea,Fraud - General,USDOJ - Antitrust Division,United Kingdom,6/21/2010,0,40927,2010
864,Aerolinhas Brasileiras S.A.,plea,Antitrust,USDOJ - Antitrust Division,Brazil,2/19/2009,21000000,21000000,2009
865,Aerosell Ltd. Inc.,plea,Wildlife,Florida - Southern District,United States,4/24/2003,5000,5000,2003
867,Affton Trucking Company Inc.,plea,Other,Missouri - Eastern District,United States,12/5/2002,25000,25000,2002
868,Agar Corp. Inc.,plea,Import / Export,Texas - Southern District,United States,6/24/2010,760000,760000,2010
869,Agar Supply Co. Inc.,plea,Wildlife,California - Central District,United States,12/4/2007,5000,5000,2007
151,"Aggregate Industries Northeast Region, Inc.",plea,False Statements,Massachusetts,United States,9/19/2007,7280000,50000000,2007
871,"Aguila Construction Company, Inc.",plea,Other,Massachusetts,United States,11/19/2013,0,782825,2013
872,Aibel Group Ltd.,plea,FCPA,USDOJ - Criminal Division - Fraud Section,United Kingdom,12/10/2008,4200000,4200000,2008
873,Air France / KLM,plea,Antitrust,USDOJ - Antitrust Division,France,7/23/2008,210000000,210000000,2008
874,Air Inc.,plea,Fraud - General,Washington - Western District,United States,1/30/2001,10000,10000,2001
875,Air Pony Express Inc.,plea,Import / Export,Florida - Southern District,United States,8/17/2006,2000,2000,2006
153,"Air Power Enterprises, Inc.",plea,Environmental,"USDOJ,Virginia - Eastern District",United States,4/3/2006,500000,500000,2006
154,"Air Shunt Instruments, Inc.",plea,False Statements,California - Central District,United States,7/15/2008,250000,250000,2008
155,"Air Sports, Inc.",plea,Fraud - General,Missouri - Western District,United States,3/25/2001,10000,285000,2001
156,"Air Support International, Inc.",plea,Fraud - General,Missouri - Western District,United States,3/19/2002,10000,285000,2002
876,Air Van Lines International Inc.,plea,Obstruction of Justice,USDOJ - Antitrust Division,United States,7/31/2007,143040,143040,2007
877,Airbags Express Inc.,plea,Environmental,Florida - Southern District,United States,4/9/2001,10000,10000,2001
3093,"Airgas Doral, Inc.",plea,Environmental,Florida - Southern District,United States,5/27/2016,4300000,7000000,2016
2533,"Airmatic, Inc.",plea,Fraud - General,Pennsylvania - Eastern District,United States,12/16/2014,350000,906633,2014
2534,Aisan Industry Co. Ltd.,plea,Antitrust,USDOJ - Antitrust Division (San Francisco),Japan,3/5/2014,6860000,6860000,2014
2535,Aisin Seiki Co. Ltd.,plea,Antitrust,USDOJ - Antitrust Division (Chicago),Japan,2/10/2015,35800000,35800000,2015
157,"Ajinomoto Co., Inc.",plea,Antitrust,"Texas - Northern District,USDOJ - Antitrust Division",Japan,1/10/2002,6000000,6000000,2002
158,Aksay Denizcilik Ve Ticaret A.S.,plea,Act to Prevent Pollution from Ships,USDOJ - Environment & Natural Resources Division,Turkey,5/24/2010,725000,725000,2010
1453,Akzo Nobel,plea,Antitrust,USDOJ - Antitrust Division,United Kingdom (Bermuda),11/15/2011,687960,687960,2011
878,Akzo Nobel Chemicals International,plea,Antitrust,USDOJ - Antitrust Division,United Kingdom,5/26/2006,32000000,32000000,2006
879,Al Prince Corp.,plea,OSHA / Workplace Safety / Mine Safety,USDOJ - Criminal Division (California - Southern District),United States,5/21/2009,100000,104691,2009
567,Alabama Contract Sales,DP,Fraud - General,Alabama - Northern District,United States,5/29/2007,0,894674,2007
880,Alan Ritchey LLC,plea,False Statements,California - Northern District,United States,10/7/2004,500000,500000,2004
2536,"Alana Industries, Inc.",plea,FDCA / Pharma,Florida - Southern District,United States,6/23/2014,1000,1000,2014
881,Alaska Brokerage International Inc.,plea,Antitrust,USDOJ - Antitrust Division,United States,1/8/2007,30000,30000,2007
159,"Alaska State Mortgage Co., Inc.",plea,Fraud - General,Alaska,United States,5/18/2009,91479,91479,2009
2751,Alcatel Centroamerica,plea,FCPA,USDOJ - Criminal Division - Fraud Section,United States,6/1/2011,500000,500000,2011
568,Alcatel-Lucent,DP,FCPA,USDOJ - Criminal Division - Fraud Section,France,12/27/2010,92000000,92000000,2010
2537,"Alcatel-Lucent Centroamerica, S.A.",plea,FCPA,Florida - Southern District,Costa Rica,6/1/2011,500000,500000,2011
882,Alcatel-Lucent France,plea,FCPA,USDOJ - Criminal Division - Fraud Section,France,6/1/2011,500000,500000,2011
883,Alcatel-Lucent Trade International A.G.,plea,FCPA,USDOJ - Criminal Division - Fraud Section,Switzerland,6/1/2011,500000,500000,2011
2538,"Alcoa World Alumina, LLC",plea,FCPA,Pennsylvania - Western District,United States,1/9/2014,209000000,223000000,2014
886,Alfred C Toepfer International (Ukraine) Ltd.,plea,Bribery,Illinois - Central District,non - U.S.,12/23/2013,17771613,17771613,2013
887,Algonquin Power Systems-NH Inc.,plea,Environmental,New Hampshire,United States,5/15/2006,10000,10000,2006
888,All Around Landscaping Inc.,plea,Immigration,Arkansas - Western District,United States,7/7/2011,40000,40000,2011
889,All County Water Association Inc.,plea,Fraud - General,Florida - Southern District,United States,12/21/2007,0,1863265,2007
2539,"All Fabrics, Inc.orporated",plea,Import / Export,Massachusetts,United States,1/22/2014,180000,328506,2014
890,All International Co.,plea,Obstruction of Justice,"Alabama - Middle District,USDOJ - Civil Division - Office of Consumer Litigation",United States,6/14/2002,125000,125000,2002
160,"All Nippon Airways Co., Ltd.",plea,Antitrust,"USDOJ - Antitrust Division,USDOJ - Antitrust Division (San Francisco)",Japan,12/7/2010,73000000,73000000,2010
891,All Power Manufacturing Co.,plea,Environmental,California - Central District,United States,9/6/2006,150000,225000,2006
161,"All States Asphalt, Inc.",plea,False Statements,Massachusetts,United States,4/22/2005,168000,168000,2005
893,All-County Paving Corp.,plea,Fraud - General,New York - Eastern District,United States,8/15/2008,0,326343,2008
894,Allen Concrete of Blytheville Inc.,plea,Fraud - General,Arkansas - Eastern District,United States,11/14/2005,34860,139440,2005
895,Allens Inc.,plea,Environmental,Louisiana - Western District,United States,10/24/2008,175000,175000,2008
896,Allergan,plea,FDCA / Pharma,Georgia - Northern District,United States,10/7/2010,350000000,375000000,2010
897,Alliance Chemical & Environmental Inc.,plea,Environmental,California - Central District,United States,6/23/2009,50000,50000,2009
162,"Alliance Mechanical, LLC",plea,Antitrust,USDOJ - Antitrust Division,United States,7/3/2008,55000,55000,2008
163,Alliance One International AG,plea,FCPA,USDOJ - Criminal Division - Fraud Section,Switzerland,10/21/2010,5250000,5250000,2010
898,Alliance One Tobacco Osh LLC,plea,FCPA,USDOJ - Criminal Division - Fraud Section,Kyrgyzstan,10/21/2010,4200000,4200000,2010
164,"Allied Chemical Supply, Inc.",plea,Money Laundering,Oklahoma - Northern District,United States,9/1/2004,0,250000,2004
899,Allied Freight Forwarding,plea,Antitrust,USDOJ - Antitrust Division,United States,3/2/2006,1043000,1043000,2006
152,Allied International Manufacturing (Nanjiing) Stationery Co. Ltd.,plea,Import / Export,New Jersey,China,3/19/2001,50000,50000,2001
900,Allied Telesis Labs Inc.,plea,Fraud - General,North Carolina - Eastern District,Japan,7/28/2008,500000,500000,2008
901,Allison Creek Sheep Co.,plea,Immigration,Idaho,United States,5/18/2006,26000,26000,2006
3043,Alpha Corp.,plea,Antitrust,,United States,12/14/2016,9000000,9000000,2016
652,"Alpha Natural Resources, Inc.",NP,OSHA / Workplace Safety / Mine Safety,"USDOJ,West Virginia - Southern District",United States,12/6/2011,0,94500000,2011
165,"Alpha Technologies, Inc.",plea,Fraud - Tax,Washington - Western District,United States,6/25/2004,500000,500000,2004
902,Alpha Treatment Centers Inc,plea,Fraud - Health Care,Texas - Northern District,United States,1/28/2008,0,100000,2008
2540,"Alphin Brothers, Inc.",plea,Wildlife,North Carolina - Eastern District,United States,2/10/2015,100000,100000,2015
903,Alpine Aerospace Corp.,plea,False Statements,New Jersey,United States,6/8/2011,5000,5000,2011
904,Alpine Armoring Inc.,plea,Import / Export,Virginia - Eastern District,United States,6/15/2007,102000,102000,2007
166,"Alrek Business Solutions, Inc.",plea,Immigration,Florida - Northern District,United States,2/13/2009,36000,36000,2009
2541,Alstom Network Schweiz AG,plea,FCPA,"USDOJ - Criminal Division - Fraud Section,Connecticut",Switzerland,11/25/2015,772290000,772290000,2015
905,Altec Medical Inc.,plea,FDCA / Pharma,Florida - Southern District,United States,8/13/2012,2000000,2000000,2012
906,Aluminum Finishing Co. Inc.,plea,Environmental,Connecticut,United States,4/20/2005,400000,400000,2005
2543,"Alvarado Medical Plaza Pharmacy, Inc.",plea,Fraud - Health Care,USDOJ - Criminal Division (California - Southern District),United States,3/3/2014,10000,1014282,2014
570,AmSouth Bancorp,DP,Bank Secrecy Act,Mississippi - Southern District,United States,10/1/2004,0,40000000,2004
907,"Amber Express Cargo, Inc.",plea,Act to Prevent Pollution from Ships,Florida - Southern District,Canada,9/10/2013,125000,125000,2013
908,Amberwick Corp.,plea,Environmental,USDOJ - Criminal Division (California - Central District),United States,6/29/2005,50000,50000,2005
